SOLUTION|PROFIT|REVENUE|TIME|DISTANCE|ITERATION
1, 9[0], 6[1], 13[0], 7[0], 14[0], 21[0], 43[0], 32[1], 49[0], 34[1], 29[0], 22[0], 20[1], 3[1], 35[0], 16[0], 24[0], 36[0], 45[1], 2[0], 51[1], 37[0], 18[0], 41[0], 47[0], 38[1], 31[0], 12[0], 4[1], 42[1], 5[0], 46[1], 50[1], 39[0], 19[0], 26[0], 44[1], 28[0], 15[0], 17[1], 25[0], 8[0], 11[1], 10[0], 48[0], 23[0], 30[1], 33[0], 27[1], 40[0], 1| -445631.600000 | -12554.000000 | 97540.000000 | 9754.000000 | 0
1, 18[0], 20[1], 10[0], 41[0], 44[0], 23[0], 13[0], 16[0], 35[1], 51[1], 29[0], 17[1], 39[0], 26[0], 9[0], 15[0], 4[1], 2[0], 48[0], 12[0], 25[0], 37[0], 36[0], 21[0], 46[1], 50[1], 31[0], 42[0], 24[0], 19[0], 49[0], 30[1], 6[0], 22[0], 40[0], 47[0], 45[1], 7[0], 43[0], 14[0], 33[0], 8[0], 11[1], 28[0], 3[1], 32[1], 34[0], 38[0], 27[1], 5[0], 1| -297863.200000 | -8908.000000 | 65080.000000 | 6508.000000 | 1
1, 18[0], 20[1], 10[0], 41[0], 44[0], 23[0], 13[0], 16[0], 35[1], 51[1], 29[0], 17[1], 39[0], 26[0], 9[0], 15[0], 4[1], 2[0], 48[0], 12[0], 25[0], 37[0], 36[0], 21[0], 46[1], 50[1], 31[0], 42[0], 24[0], 19[0], 49[0], 30[1], 6[0], 22[0], 40[0], 47[0], 45[1], 7[0], 43[0], 14[0], 33[0], 8[0], 11[0], 28[0], 3[1], 32[1], 34[0], 38[0], 27[1], 5[0], 1| -230816.000000 | -7040.000000 | 50400.000000 | 5040.000000 | 2
1, 20[1], 35[0], 16[0], 2[0], 51[1], 37[0], 18[0], 41[0], 12[0], 4[1], 5[0], 39[0], 26[0], 44[0], 15[0], 17[0], 25[0], 10[0], 27[1], 23[0], 13[0], 9[0], 36[0], 21[0], 46[1], 50[1], 31[0], 42[0], 24[0], 19[0], 49[0], 30[1], 6[0], 22[0], 40[0], 47[0], 45[1], 7[0], 43[0], 14[0], 33[0], 8[0], 11[0], 28[0], 3[1], 32[1], 34[1], 38[0], 48[0], 29[0], 1| -7110.265663 | 5641.000000 | 2871.906681 | 42.755117 | 3
1, 18[0], 20[1], 10[0], 41[0], 44[0], 23[0], 13[0], 16[0], 35[0], 51[1], 29[0], 17[0], 39[0], 26[0], 15[0], 4[1], 2[0], 48[0], 12[0], 25[0], 37[0], 9[0], 36[0], 21[0], 46[1], 50[0], 31[0], 42[0], 24[0], 19[0], 49[0], 30[1], 6[0], 22[0], 40[0], 47[0], 45[1], 7[0], 43[0], 14[0], 33[0], 8[0], 11[0], 28[0], 3[1], 32[1], 34[1], 38[0], 27[1], 5[0], 1| -4817.802124 | 5494.000000 | 2322.477956 | 44.407207 | 4
1, 18[0], 20[1], 10[0], 41[0], 44[0], 23[0], 13[0], 16[0], 35[0], 51[1], 29[0], 17[0], 39[0], 26[0], 15[0], 4[1], 2[0], 48[0], 12[0], 25[0], 37[0], 9[0], 36[0], 21[0], 46[0], 50[0], 31[0], 42[0], 24[0], 19[0], 49[0], 30[1], 6[0], 22[0], 40[0], 47[0], 45[1], 7[0], 43[0], 14[0], 33[0], 8[0], 11[0], 28[0], 3[1], 32[1], 34[1], 38[0], 27[1], 5[1], 1| -4159.742492 | 5291.000000 | 2128.545606 | 44.407207 | 5
1, 18[0], 20[0], 10[0], 41[0], 44[0], 23[0], 13[0], 16[0], 35[0], 51[1], 29[0], 17[0], 39[0], 26[0], 15[0], 4[1], 2[0], 48[0], 12[0], 25[0], 37[0], 9[0], 36[0], 21[0], 46[0], 50[0], 31[0], 42[0], 24[0], 19[0], 49[0], 30[1], 6[0], 22[0], 40[0], 47[0], 45[1], 33[0], 14[0], 43[0], 7[0], 8[0], 11[0], 28[0], 3[1], 32[1], 34[1], 38[0], 27[1], 5[0], 1| -3606.432426 | 4645.000000 | 1858.430727 | 44.407207 | 6
1, 18[0], 20[0], 10[0], 41[0], 44[0], 23[0], 13[0], 16[0], 35[0], 51[1], 17[0], 39[0], 26[0], 15[0], 4[1], 2[0], 48[0], 12[0], 25[0], 37[0], 9[0], 36[0], 21[0], 46[0], 29[0], 50[0], 31[0], 42[0], 24[0], 19[1], 49[0], 30[1], 6[0], 22[0], 40[0], 47[0], 45[1], 33[0], 14[0], 43[0], 7[0], 8[0], 11[0], 28[0], 3[1], 32[1], 34[1], 38[0], 27[1], 5[1], 1| -3198.365198 | 5069.000000 | 1862.019189 | 44.407207 | 7
1, 18[0], 20[0], 10[0], 41[0], 44[0], 23[0], 13[0], 16[0], 35[0], 51[1], 46[0], 21[0], 36[0], 9[0], 37[0], 25[0], 12[0], 48[0], 26[0], 2[1], 4[1], 15[0], 39[0], 17[0], 29[0], 50[0], 31[0], 42[0], 24[0], 19[0], 49[0], 30[1], 6[0], 22[0], 40[0], 47[0], 45[1], 33[0], 14[0], 43[0], 7[0], 8[0], 11[0], 28[0], 3[1], 32[1], 34[1], 38[0], 27[1], 5[0], 1| -2989.685559 | 4746.000000 | 1742.271522 | 44.407207 | 8
1, 18[0], 20[0], 10[0], 41[0], 44[0], 23[0], 13[0], 16[0], 35[0], 51[1], 46[0], 21[0], 36[0], 9[0], 37[0], 25[0], 12[0], 48[0], 26[0], 2[0], 4[1], 15[0], 39[0], 17[0], 29[0], 50[0], 31[0], 42[0], 24[0], 22[0], 6[0], 30[1], 49[0], 19[0], 40[0], 47[0], 45[1], 33[0], 14[0], 43[0], 7[0], 8[0], 11[0], 28[0], 3[1], 32[1], 34[1], 38[0], 27[1], 5[1], 1| -2589.916275 | 4847.000000 | 1674.981143 | 44.407207 | 9
1, 18[0], 20[0], 23[0], 13[0], 16[0], 35[0], 51[1], 46[0], 21[0], 36[0], 9[0], 37[0], 25[0], 12[0], 48[0], 26[0], 2[0], 4[1], 15[0], 44[0], 41[0], 10[0], 39[0], 17[0], 29[0], 50[0], 31[0], 42[0], 24[0], 22[0], 6[0], 30[1], 49[0], 19[0], 40[0], 47[0], 45[1], 33[0], 14[0], 43[0], 7[0], 8[0], 11[0], 28[0], 3[1], 32[1], 34[1], 38[0], 27[1], 5[1], 1| -2383.609688 | 4847.000000 | 1628.515696 | 44.407207 | 10
1, 18[0], 13[0], 23[0], 20[0], 16[0], 35[0], 51[1], 46[0], 21[0], 36[0], 9[0], 37[0], 25[0], 12[0], 48[0], 26[0], 2[0], 4[1], 15[0], 39[0], 17[0], 44[0], 41[0], 10[0], 29[0], 50[0], 31[0], 42[0], 24[0], 22[0], 6[0], 30[1], 49[0], 19[0], 40[0], 47[0], 45[1], 33[0], 14[0], 43[0], 7[0], 8[0], 11[0], 28[0], 3[1], 32[1], 34[1], 38[0], 27[1], 5[1], 1| -2112.565715 | 4847.000000 | 1567.469756 | 44.407207 | 11
1, 18[0], 13[0], 23[0], 20[0], 16[0], 35[0], 51[1], 46[0], 21[0], 36[0], 9[0], 37[0], 25[0], 12[0], 48[0], 26[0], 2[0], 4[1], 15[0], 39[0], 17[0], 44[0], 41[0], 10[0], 29[0], 50[0], 31[0], 42[0], 24[0], 22[0], 6[0], 30[1], 49[0], 19[0], 40[0], 47[0], 45[1], 33[0], 14[0], 43[0], 7[0], 8[0], 11[0], 28[0], 3[1], 38[0], 34[1], 32[1], 27[1], 5[1], 1| -1915.463701 | 4847.000000 | 1523.077410 | 44.407207 | 12
1, 18[0], 13[0], 23[0], 20[0], 16[0], 35[0], 51[1], 46[0], 21[0], 36[0], 9[0], 37[0], 25[0], 12[0], 48[0], 26[0], 2[1], 4[1], 15[0], 39[0], 17[0], 44[0], 41[0], 10[0], 29[0], 50[0], 31[0], 42[0], 24[0], 22[1], 6[0], 30[1], 49[0], 19[0], 40[0], 47[0], 45[1], 33[0], 14[0], 43[0], 7[0], 8[0], 11[0], 28[0], 3[1], 38[0], 34[1], 32[1], 27[1], 5[1], 1| -1703.192422 | 5614.000000 | 1648.016311 | 44.407207 | 13
1, 18[0], 13[0], 23[0], 20[0], 16[0], 35[0], 51[1], 46[0], 21[0], 36[0], 9[0], 37[0], 25[0], 12[0], 48[0], 26[0], 2[0], 4[1], 15[0], 39[0], 17[0], 44[0], 41[0], 6[0], 22[0], 24[0], 42[0], 31[0], 50[0], 29[0], 3[1], 28[0], 11[0], 8[0], 7[0], 43[0], 14[0], 33[0], 45[1], 47[0], 40[0], 19[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 27[1], 5[1], 1| -1418.952646 | 4847.000000 | 1411.250596 | 44.407207 | 14
1, 18[0], 13[0], 23[0], 20[0], 16[0], 35[0], 51[1], 46[0], 21[0], 36[0], 9[0], 37[0], 25[0], 12[0], 48[0], 26[0], 2[0], 4[1], 15[0], 39[0], 17[0], 44[0], 41[0], 29[0], 50[0], 11[0], 8[0], 7[0], 43[0], 14[0], 6[0], 22[1], 24[0], 42[0], 31[0], 28[0], 3[1], 33[0], 45[1], 47[0], 40[0], 19[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 27[1], 5[1], 1| -1183.251141 | 5513.000000 | 1508.164671 | 44.407207 | 15
1, 18[0], 13[0], 23[0], 26[0], 48[0], 12[0], 25[0], 37[0], 9[0], 36[0], 21[0], 46[0], 51[1], 35[0], 16[0], 20[0], 2[0], 4[1], 15[0], 39[0], 17[0], 44[0], 41[0], 42[0], 31[0], 50[0], 29[0], 3[1], 28[0], 11[0], 6[0], 22[1], 24[0], 8[0], 7[0], 43[0], 14[0], 33[0], 45[1], 47[0], 40[0], 19[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 27[1], 5[1], 1| -852.553801 | 5513.000000 | 1433.683288 | 44.407207 | 16
1, 18[0], 13[0], 23[0], 26[0], 48[0], 12[0], 25[0], 37[0], 9[0], 36[0], 21[0], 46[0], 51[1], 35[0], 16[0], 20[0], 2[0], 4[1], 15[0], 39[0], 17[0], 44[0], 41[0], 42[0], 24[0], 22[1], 6[0], 14[0], 43[0], 7[0], 8[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 33[0], 45[1], 47[0], 40[0], 19[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 27[1], 5[1], 1| -632.862012 | 5660.000000 | 1417.311264 | 44.407207 | 17
1, 18[0], 13[0], 23[0], 26[0], 48[0], 12[0], 25[0], 37[0], 9[0], 36[0], 21[0], 46[0], 51[1], 35[0], 16[0], 20[0], 2[1], 4[1], 15[0], 39[0], 17[0], 44[0], 41[0], 42[0], 24[0], 11[0], 8[0], 7[0], 43[0], 14[0], 6[0], 22[1], 29[0], 50[1], 31[0], 28[0], 3[1], 33[0], 45[1], 47[0], 40[0], 19[1], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 27[1], 5[1], 1| -497.674657 | 5983.000000 | 1459.611409 | 44.407207 | 18
1, 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 15[0], 4[1], 2[0], 20[0], 16[0], 35[0], 51[1], 46[0], 21[0], 36[0], 9[0], 37[0], 25[0], 12[0], 48[0], 26[0], 23[0], 24[0], 22[1], 6[0], 14[0], 43[0], 7[0], 8[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 33[0], 45[1], 47[0], 40[0], 19[0], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 27[1], 5[1], 1| -422.302388 | 5660.000000 | 1369.887925 | 44.407207 | 19
1, 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 2[1], 20[0], 16[0], 35[0], 51[1], 46[0], 21[0], 36[0], 9[0], 37[0], 4[1], 15[0], 25[0], 12[0], 48[0], 26[0], 23[0], 24[0], 22[1], 6[0], 14[0], 43[0], 7[0], 8[0], 11[0], 29[0], 50[1], 31[0], 28[0], 3[1], 33[0], 45[0], 47[0], 40[0], 19[1], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 27[1], 5[1], 1| -210.122805 | 5527.000000 | 1292.144776 | 44.407207 | 20
1, 18[0], 13[0], 42[0], 41[0], 44[0], 17[0], 39[0], 2[1], 20[0], 16[0], 35[0], 51[1], 46[0], 21[0], 36[0], 9[0], 37[0], 4[1], 3[1], 28[0], 31[0], 50[1], 29[0], 11[0], 8[0], 7[0], 43[0], 14[0], 6[0], 22[1], 24[0], 23[0], 26[0], 48[0], 12[0], 25[0], 15[0], 33[0], 45[0], 47[0], 40[0], 19[1], 49[0], 30[1], 10[0], 38[0], 34[1], 32[1], 27[1], 5[1], 1| -136.859726 | 5527.000000 | 1275.644082 | 44.407207 | 21
