EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
1|1.090112|0.308960|5.949152|2.788224
2|1.090112|0.304032|5.087296|2.763040
3|1.090112|0.309600|4.979744|2.864384
4|1.090112|0.302592|4.818976|2.763552
5|1.090112|0.306048|4.993312|2.843392
6|1.090112|0.302976|4.789312|2.808672
7|1.090112|0.307296|4.740928|2.835808
8|1.090112|0.302336|4.576672|2.711552
9|1.090112|0.304896|4.519168|2.745024
10|1.090112|0.311264|5.105952|2.756928
11|1.090112|0.307616|4.330304|2.672096
12|1.090112|0.309056|4.334016|2.694112
13|1.090112|0.308160|4.302400|2.711072
14|1.090112|0.310240|4.894912|2.784576
15|1.090112|0.304448|5.056992|2.802432
16|1.090112|0.298432|4.710208|2.668800
17|1.090112|0.299136|4.900576|2.802240
18|1.090112|0.298528|5.241696|2.783456
19|1.090112|0.299648|4.608864|2.718496
20|1.090112|0.300064|4.741088|2.711616
21|1.090112|0.298560|4.717248|2.718592
22|1.090112|0.295904|4.568736|2.686880
23|1.090112|0.296160|4.643136|2.601664
24|1.090112|0.301440|4.190080|2.681728
25|1.090112|0.297792|4.181472|2.657440
26|1.090112|0.295328|4.523968|2.674400
27|1.090112|0.299744|4.206048|2.617696
28|1.090112|0.299072|4.486176|2.653984
29|1.090112|0.299264|4.262912|2.606048
30|1.090112|0.299776|4.153568|2.661152
31|1.090112|0.297632|4.188128|2.699968
32|1.090112|0.301344|4.217792|2.652768
33|1.090112|0.298368|4.658848|2.694624
34|1.090112|0.297088|4.280352|2.610336
35|1.090112|0.298496|4.180672|2.630592
36|1.090112|0.299936|4.596928|2.716128
37|1.090112|0.298624|4.240704|2.654336
38|1.090112|0.298816|4.914272|2.643360
39|1.090112|0.298752|4.339552|2.683488
40|1.090112|0.299072|4.361920|2.651040
41|1.090112|0.297216|4.473248|2.625856
42|1.090112|0.297152|4.187232|2.643808
43|1.090112|0.302752|4.542752|2.677120
44|1.090112|0.304512|4.265952|2.659168
45|1.090112|0.297728|4.121696|2.612096
46|1.090112|0.297248|4.393376|2.654944
47|1.090112|0.305440|5.003520|2.707456
48|1.090112|0.297376|5.088544|2.727680
49|1.090112|0.302624|5.074176|2.657280
50|1.090112|0.299392|4.198944|2.663552
51|1.090112|0.297216|4.152544|2.627872
52|1.090112|0.298336|4.432992|2.711392
53|1.090112|0.302080|5.256128|2.690112
