EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
0|5.294912|-1.000000|-1.000000|-1.000000
1|5.294912|0.145984|8.791360|12.712416
2|5.294912|0.145344|2.892960|0.367072
3|5.294912|0.146464|2.947456|0.826848
4|5.294912|0.144416|3.302592|1.807200
5|5.294912|0.139648|3.123840|1.784576
6|5.294912|0.142464|2.433952|1.803968
7|5.294912|0.145696|3.065376|1.834112
8|5.294912|0.144192|2.984064|1.816192
9|5.294912|0.144256|3.126048|1.813024
10|5.294912|0.145856|3.058752|1.822944
11|5.294912|0.145568|2.878496|1.800960
12|5.294912|0.145376|2.995680|1.816672
13|5.294912|0.144384|2.689952|1.782752
14|5.294912|0.147040|2.716224|1.787616
15|5.294912|0.143104|3.234592|1.828640
16|5.294912|0.146656|2.875200|1.808160
17|5.294912|0.141088|3.127456|1.815296
18|5.294912|0.146624|2.744288|1.799776
19|5.294912|0.150240|2.613696|1.795008
20|5.294912|0.144448|3.077824|1.811424
21|5.294912|0.143552|2.593376|1.788640
22|5.294912|0.145248|2.629888|1.779488
23|5.294912|0.151424|2.620192|1.799936
24|5.294912|0.145760|2.671424|1.797792
25|5.294912|0.144544|3.127744|1.799904
26|5.294912|0.144704|2.784032|1.798048
27|5.294912|0.141248|2.966528|1.796480
28|5.294912|0.145248|2.942624|1.790496
29|5.294912|0.155904|3.225824|1.795168
30|5.294912|0.148000|3.160576|1.801792
31|5.294912|0.144288|2.686592|1.800000
32|5.294912|0.142976|3.246912|1.800320
33|5.294912|0.144544|3.425696|1.809920
34|5.294912|0.142624|3.330784|1.800992
35|5.294912|0.145824|3.415136|1.803552
36|5.294912|0.143648|2.984608|1.803424
37|5.294912|0.146688|3.442080|1.811328
38|5.294912|0.143808|3.337216|1.796288
39|5.294912|0.143616|3.197088|1.812672
40|5.294912|0.142464|2.424256|1.799488
41|5.294912|0.142464|3.278432|1.821504
42|5.294912|0.144768|3.296896|1.811360
43|5.294912|0.144800|3.239360|1.809056
44|5.294912|0.144864|3.004128|1.799360
45|5.294912|0.145472|2.984544|1.813824
46|5.294912|0.141280|2.967968|1.821632
47|5.294912|0.145056|3.023968|1.807264
48|5.294912|0.147904|2.933888|1.818112
49|5.294912|0.143200|3.299968|1.831584
50|5.294912|0.146816|3.286528|1.824064
51|5.294912|0.144448|3.130112|1.821216
