INITIAL POPULATION FOR CUDA_ W5-TTP
Individual 0: 1, 3[1], 5[0], 4[0], 2[1], 1 Profit: -76.966856 - Revenue: 340.000000 - Time: 166.786743 - Distance: 15.620499
Individual 1: 1, 5[0], 2[0], 4[1], 3[0], 1 Profit: -134.779952 - Revenue: 50.000000 - Time: 73.911981 - Distance: 29.732137
Individual 2: 1, 3[1], 2[0], 5[0], 4[0], 1 Profit: -173.145372 - Revenue: 300.000000 - Time: 189.258149 - Distance: 34.058773
Individual 3: 1, 3[0], 5[0], 4[0], 2[1], 1 Profit: -103.325876 - Revenue: 40.000000 - Time: 57.330351 - Distance: 15.620499
Individual 4: 1, 3[1], 4[1], 5[0], 2[1], 1 Profit: -401.323711 - Revenue: 390.000000 - Time: 316.529485 - Distance: 15.620499
Individual 5: 1, 5[0], 2[1], 4[0], 3[1], 1 Profit: 90.598171 - Revenue: 340.000000 - Time: 99.760732 - Distance: 29.732137
Individual 6: 1, 3[1], 4[1], 5[0], 2[1], 1 Profit: -401.323711 - Revenue: 390.000000 - Time: 316.529485 - Distance: 15.620499
Individual 7: 1, 3[1], 5[0], 4[1], 2[1], 1 Profit: -477.166467 - Revenue: 390.000000 - Time: 346.866587 - Distance: 15.620499
Individual 8: 1, 3[1], 2[0], 5[0], 4[0], 1 Profit: -173.145372 - Revenue: 300.000000 - Time: 189.258149 - Distance: 34.058773
Individual 9: 1, 3[1], 4[1], 5[0], 2[0], 1 Profit: -425.813507 - Revenue: 350.000000 - Time: 310.325403 - Distance: 15.620499
Individual 10: 1, 5[0], 2[0], 3[1], 4[0], 1 Profit: -6.979964 - Revenue: 300.000000 - Time: 122.791985 - Distance: 34.058773
Individual 11: 1, 4[0], 2[1], 3[1], 5[0], 1 Profit: 77.470499 - Revenue: 340.000000 - Time: 105.011800 - Distance: 17.204651
Individual 12: 1, 3[0], 4[0], 5[0], 2[1], 1 Profit: -85.606720 - Revenue: 40.000000 - Time: 50.242688 - Distance: 15.620499
Individual 13: 1, 5[0], 3[0], 2[1], 4[0], 1 Profit: -120.621314 - Revenue: 40.000000 - Time: 64.248526 - Distance: 34.058773
Individual 14: 1, 2[1], 5[0], 4[0], 3[1], 1 Profit: 116.918711 - Revenue: 340.000000 - Time: 89.232516 - Distance: 29.732137
Individual 15: 1, 2[0], 5[0], 3[0], 4[1], 1 Profit: -100.031363 - Revenue: 50.000000 - Time: 60.012545 - Distance: 34.058773
Individual 16: 1, 4[1], 3[1], 5[0], 2[0], 1 Profit: -449.069565 - Revenue: 350.000000 - Time: 319.627826 - Distance: 15.620499
